Length,PreviousLength,InterArrivalTime,Type,Predict
139,0,-1.0,Null,Null
55,0,-1.0,Null,Null
55,0,-1.0,Null,Null
139,0,-1.0,Null,Null
139,0,-1.0,Null,Null
1506,0,-1.0,Null,Null
607,0,-1.0,Null,Null
139,607,0.009769,Null,Null
187,607,0.00977,Null,ClientKeyExchange
139,607,0.016853,Null,Null
1514,607,0.017079,Null,Null
1299,607,0.017082,Null,Null
139,607,0.017082,Null,Null
1514,607,0.017335,Null,Null
471,607,0.017336,Null,Null
55,0,-1.0,Null,Null
272,0,-1.0,ClientHello,ClientHello
1514,272,0.037021,Null,Null
1001,272,0.037285,ServerHelloDone,ServerHelloDone
249,0,-1.0,ClientHello,ClientHello
180,1001,0.502756,ClientKeyExchange,ClientKeyExchange
105,180,0.034985,Finished,Finished
1489,105,0.000976000000001,Null,Null
1304,1489,0.080381,Null,Null
88,1489,0.080382,Null,Null
1514,249,0.197276,Null,Null
1185,249,0.197563,ServerHelloDone,ServerHelloDone
268,1185,0.002954,ClientKeyExchange,ClientKeyExchange
161,268,0.197341,Finished,Finished
715,161,0.005478,Null,Null
539,715,0.214672,Null,Null
97,0,-1.0,Null,Null
139,0,-1.0,Null,Null
55,0,-1.0,Null,Null
89,0,-1.0,Null,Null
1135,0,-1.0,Null,Null
89,0,-1.0,Null,Null
76,0,-1.0,Null,Null
139,0,-1.0,Null,Null
139,0,-1.0,Null,Null
139,0,-1.0,Null,Null
1179,0,-1.0,Null,Null
139,0,-1.0,Null,Null
55,0,-1.0,Null,Null
97,0,-1.0,Null,Null
139,0,-1.0,Null,Null
55,0,-1.0,Null,Null
55,0,-1.0,Null,Null
55,0,-1.0,Null,Null
55,0,-1.0,Null,Null
55,0,-1.0,Null,Null
139,0,-1.0,Null,Null
139,0,-1.0,Null,Null
155,0,-1.0,Null,Null
139,155,0.538838,Null,Null
155,155,0.539078,Null,Null
260,0,-1.0,ClientHello,ClientHello
1484,260,0.018404,Null,Null
768,260,0.018688,ServerHelloDone,ServerHelloDone
147,768,0.434483,ClientKeyExchange,ClientKeyExchange
141,768,0.434767,Null,Null
421,768,0.435152,Null,Null
338,421,0.008191,Finished,Finished
123,421,0.008192,Null,Null
92,123,0.000834999999995,Null,Null
92,92,0.001055,Null,Null
586,92,0.076159,Null,Null
1484,92,0.076639,Null,Null
1484,92,0.07664,Null,Null
1484,92,0.076896,Null,Null
1484,92,0.076897,Null,Null
1484,92,0.077148,Null,Null
1484,92,0.077149,Null,Null
1484,92,0.077388,Null,Null
565,92,0.077389,Null,Null
330,92,0.077391,Null,Finished
1484,92,0.077923,Null,Null
1484,92,0.078153,Null,Null
1484,92,0.078156,Null,Null
1484,92,0.078584,Null,Null
1484,92,0.078585,Null,Null
1484,92,0.078822,Null,Null
1484,92,0.084924,Null,Null
1484,92,0.085237,Null,Null
1484,92,0.085476,Null,Null
1484,92,0.085478,Null,Null
1484,92,0.085723,Null,Null
1484,92,0.086239,Null,Null
1484,92,0.086673,Null,Null
1484,92,0.086673,Null,Null
1484,92,0.087434,Null,Null
1484,92,0.087434,Null,Null
1484,92,0.087658,Null,Null
1484,92,0.088216,Null,Null
1484,92,0.088218,Null,Null
1484,92,0.088448,Null,Null
1484,92,0.088975,Null,Null
1484,92,0.089219,Null,Null
1484,92,0.089219,Null,Null
1484,92,0.089728,Null,Null
1484,92,0.089976,Null,Null
1484,92,0.089978,Null,Null
1484,92,0.090493,Null,Null
1484,92,0.090742,Null,Null
1484,92,0.090744,Null,Null
1484,92,0.090991,Null,Null
1484,92,0.091397,Null,Null
1484,92,0.091821,Null,Null
1484,92,0.091822,Null,Null
1484,92,0.092053,Null,Null
1484,92,0.092473,Null,Null
340,92,0.092475,Null,Finished
1484,92,0.093262,Null,Null
1469,92,0.093488,Null,Null
100,92,0.09349,Null,Null
100,100,0.000398000000004,Null,Null
418,100,0.040792,Null,Null
236,418,0.01969,Null,Null
1484,418,0.020185,Null,Null
1484,418,0.020188,Null,Null
1484,418,0.020438,Null,Null
976,418,0.020439,Null,Null
92,418,0.02044,Null,Null
100,418,0.02044,Null,Null
100,92,0.000366999999997,Null,Null
121,92,0.106002,Null,Null
147,92,0.123027,Null,Null
258,0,-1.0,ClientHello,ClientHello
258,0,-1.0,ClientHello,ClientHello
132,147,0.004195,Null,Null
1484,147,0.00467800000001,Null,Null
1484,147,0.00468,Null,Null
1484,147,0.005095,Null,Null
1484,147,0.005333,Null,Null
1484,147,0.00533600000001,Null,Null
1484,147,0.005585,Null,Null
1484,147,0.005586,Null,Null
1484,147,0.00581,Null,Null
1484,147,0.005811,Null,Null
1484,147,0.006055,Null,Null
1484,147,0.006056,Null,Null
1484,147,0.006343,Null,Null
84,147,0.00634400000001,Null,Null
100,147,0.00634400000001,Null,Null
1484,258,0.00363,Null,Null
1320,258,0.003906,ServerHelloDone,Null
1484,258,0.004145,Null,Null
1319,258,0.004377,ServerHelloDone,Null
100,84,0.00135299999999,Null,Null
256,84,0.00247599999999,Null,Null
260,84,0.00866,ClientHello,Null
260,84,0.008834,ClientHello,Null
241,260,0.00592,Null,Null
1484,260,0.006387,Null,Null
1484,260,0.00638799999999,Null,Null
1484,260,0.006634,Null,Null
1484,260,0.006635,Null,Null
1484,260,0.006876,Null,Null
1484,260,0.007096,Null,Null
1484,260,0.007098,Null,Null
1484,260,0.007099,Null,Null
1484,260,0.007332,Null,Null
1484,260,0.007552,Null,Null
1484,260,0.007552,Null,Null
1484,260,0.007801,Null,Null
1484,260,0.007801,Null,Null
1484,260,0.008043,Null,Null
1484,260,0.008044,Null,Null
1484,260,0.008278,Null,Null
1484,260,0.008278,Null,Null
1484,260,0.008512,Null,Null
1484,260,0.008513,Null,Null
1484,260,0.008743,Null,Null
1484,260,0.008967,Null,Null
1484,260,0.009186,Null,Null
1484,260,0.00940499999999,Null,Null
1484,260,0.009407,Null,Null
1484,260,0.009408,Null,Null
1484,260,0.010168,Null,Null
1484,260,0.010169,Null,Null
1484,260,0.01043,Null,Null
1484,260,0.01043,Null,Null
1484,260,0.01066,Null,Null
1484,260,0.01066,Null,Null
1484,260,0.010906,Null,Null
1484,260,0.011154,Null,Null
1484,260,0.011155,Null,Null
1484,260,0.011381,Null,Null
1484,260,0.011636,Null,Null
1484,260,0.011637,Null,Null
1484,260,0.01189,Null,Null
1484,260,0.01189,Null,Null
1484,260,0.011892,Null,Null
1484,260,0.012123,Null,Null
1484,260,0.012338,Null,Null
1484,260,0.01234,Null,Null
1484,260,0.012559,Null,Null
1484,260,0.01256,Null,Null
1484,260,0.012792,Null,Null
1484,260,0.012794,Null,Null
1484,260,0.013036,Null,Null
1484,260,0.013037,Null,Null
1484,260,0.013295,Null,Null
